blockSize:  41252	 numOfThread:    78	 matchCount: 21625	 runningTime:    20.000000
blockSize:  40730	 numOfThread:    79	 matchCount: 21625	 runningTime:    20.000000
blockSize:  40221	 numOfThread:    80	 matchCount: 21625	 runningTime:    20.000000
blockSize:  39724	 numOfThread:    81	 matchCount: 21625	 runningTime:    20.000000
blockSize:  39240	 numOfThread:    82	 matchCount: 21625	 runningTime:    20.000000
blockSize:  38767	 numOfThread:    83	 matchCount: 21625	 runningTime:    10.000000
blockSize:  38305	 numOfThread:    84	 matchCount: 21625	 runningTime:    20.000000
blockSize:  37855	 numOfThread:    85	 matchCount: 21625	 runningTime:    20.000000
blockSize:  37415	 numOfThread:    86	 matchCount: 21625	 runningTime:    20.000000
blockSize:  36985	 numOfThread:    87	 matchCount: 21625	 runningTime:    20.000000
blockSize:  36564	 numOfThread:    88	 matchCount: 21625	 runningTime:    20.000000
blockSize:  36153	 numOfThread:    89	 matchCount: 21625	 runningTime:    20.000000
blockSize:  35752	 numOfThread:    90	 matchCount: 21625	 runningTime:    10.000000
blockSize:  35359	 numOfThread:    91	 matchCount: 21625	 runningTime:    20.000000
blockSize:  34974	 numOfThread:    92	 matchCount: 21625	 runningTime:    20.000000
blockSize:  34598	 numOfThread:    93	 matchCount: 21625	 runningTime:    20.000000
blockSize:  34230	 numOfThread:    94	 matchCount: 21625	 runningTime:    20.000000
blockSize:  33870	 numOfThread:    95	 matchCount: 21625	 runningTime:    20.000000
blockSize:  33517	 numOfThread:    96	 matchCount: 21625	 runningTime:    10.000000
blockSize:  33172	 numOfThread:    97	 matchCount: 21625	 runningTime:    20.000000
blockSize:  32833	 numOfThread:    98	 matchCount: 21625	 runningTime:    30.000000
blockSize:  32502	 numOfThread:    99	 matchCount: 21625	 runningTime:    20.000000
blockSize:  32176	 numOfThread:    100	 matchCount: 21625	 runningTime:    20.000000
blockSize:  31858	 numOfThread:    101	 matchCount: 21625	 runningTime:    10.000000
blockSize:  31546	 numOfThread:    102	 matchCount: 21625	 runningTime:    20.000000
blockSize:  31239	 numOfThread:    103	 matchCount: 21625	 runningTime:    20.000000
blockSize:  30939	 numOfThread:    104	 matchCount: 21625	 runningTime:    10.000000
blockSize:  30644	 numOfThread:    105	 matchCount: 21625	 runningTime:    30.000000
blockSize:  30355	 numOfThread:    106	 matchCount: 21625	 runningTime:    20.000000
blockSize:  30071	 numOfThread:    107	 matchCount: 21625	 runningTime:    20.000000
blockSize:  29793	 numOfThread:    108	 matchCount: 21625	 runningTime:    10.000000
blockSize:  29520	 numOfThread:    109	 matchCount: 21625	 runningTime:    20.000000
blockSize:  29251	 numOfThread:    110	 matchCount: 21625	 runningTime:    20.000000
blockSize:  28988	 numOfThread:    111	 matchCount: 21625	 runningTime:    20.000000
blockSize:  28729	 numOfThread:    112	 matchCount: 21625	 runningTime:    20.000000
blockSize:  28475	 numOfThread:    113	 matchCount: 21625	 runningTime:    20.000000
blockSize:  28225	 numOfThread:    114	 matchCount: 21625	 runningTime:    20.000000
blockSize:  27979	 numOfThread:    115	 matchCount: 21625	 runningTime:    20.000000
blockSize:  27738	 numOfThread:    116	 matchCount: 21625	 runningTime:    20.000000
blockSize:  27501	 numOfThread:    117	 matchCount: 21625	 runningTime:    10.000000
blockSize:  27268	 numOfThread:    118	 matchCount: 21625	 runningTime:    20.000000
blockSize:  27039	 numOfThread:    119	 matchCount: 21625	 runningTime:    20.000000
blockSize:  26814	 numOfThread:    120	 matchCount: 21625	 runningTime:    30.000000
blockSize:  26592	 numOfThread:    121	 matchCount: 21625	 runningTime:    10.000000
blockSize:  26374	 numOfThread:    122	 matchCount: 21625	 runningTime:    20.000000
blockSize:  26160	 numOfThread:    123	 matchCount: 21625	 runningTime:    20.000000
blockSize:  25949	 numOfThread:    124	 matchCount: 21625	 runningTime:    20.000000
blockSize:  25741	 numOfThread:    125	 matchCount: 21625	 runningTime:    10.000000
blockSize:  25537	 numOfThread:    126	 matchCount: 21625	 runningTime:    30.000000
blockSize:  25336	 numOfThread:    127	 matchCount: 21625	 runningTime:    20.000000
blockSize:  25138	 numOfThread:    128	 matchCount: 21625	 runningTime:    10.000000
blockSize:  24943	 numOfThread:    129	 matchCount: 21625	 runningTime:    20.000000
blockSize:  24751	 numOfThread:    130	 matchCount: 21625	 runningTime:    20.000000
blockSize:  24562	 numOfThread:    131	 matchCount: 21625	 runningTime:    20.000000
blockSize:  24376	 numOfThread:    132	 matchCount: 21625	 runningTime:    20.000000
blockSize:  24193	 numOfThread:    133	 matchCount: 21625	 runningTime:    30.000000
blockSize:  24012	 numOfThread:    134	 matchCount: 21625	 runningTime:    10.000000
blockSize:  23834	 numOfThread:    135	 matchCount: 21625	 runningTime:    20.000000
blockSize:  23659	 numOfThread:    136	 matchCount: 21625	 runningTime:    20.000000
blockSize:  23486	 numOfThread:    137	 matchCount: 21625	 runningTime:    20.000000
blockSize:  23316	 numOfThread:    138	 matchCount: 21625	 runningTime:    20.000000
blockSize:  23148	 numOfThread:    139	 matchCount: 21625	 runningTime:    20.000000
blockSize:  22983	 numOfThread:    140	 matchCount: 21625	 runningTime:    10.000000
blockSize:  22820	 numOfThread:    141	 matchCount: 21625	 runningTime:    30.000000
blockSize:  22659	 numOfThread:    142	 matchCount: 21625	 runningTime:    20.000000
blockSize:  22501	 numOfThread:    143	 matchCount: 21625	 runningTime:    10.000000
blockSize:  22345	 numOfThread:    144	 matchCount: 21625	 runningTime:    20.000000
blockSize:  22191	 numOfThread:    145	 matchCount: 21625	 runningTime:    20.000000
blockSize:  22039	 numOfThread:    146	 matchCount: 21625	 runningTime:    30.000000
blockSize:  21889	 numOfThread:    147	 matchCount: 21625	 runningTime:    10.000000
blockSize:  21741	 numOfThread:    148	 matchCount: 21625	 runningTime:    20.000000
blockSize:  21595	 numOfThread:    149	 matchCount: 21625	 runningTime:    20.000000
blockSize:  21451	 numOfThread:    150	 matchCount: 21625	 runningTime:    20.000000
blockSize:  21309	 numOfThread:    151	 matchCount: 21625	 runningTime:    20.000000
blockSize:  21169	 numOfThread:    152	 matchCount: 21625	 runningTime:    20.000000
blockSize:  21030	 numOfThread:    153	 matchCount: 21625	 runningTime:    20.000000
blockSize:  20894	 numOfThread:    154	 matchCount: 21625	 runningTime:    10.000000
blockSize:  20759	 numOfThread:    155	 matchCount: 21625	 runningTime:    30.000000
blockSize:  20626	 numOfThread:    156	 matchCount: 21625	 runningTime:    20.000000
blockSize:  20494	 numOfThread:    157	 matchCount: 21625	 runningTime:    20.000000
blockSize:  20365	 numOfThread:    158	 matchCount: 21625	 runningTime:    20.000000
blockSize:  20237	 numOfThread:    159	 matchCount: 21625	 runningTime:    10.000000
blockSize:  20110	 numOfThread:    160	 matchCount: 21625	 runningTime:    20.000000
blockSize:  19985	 numOfThread:    161	 matchCount: 21625	 runningTime:    20.000000
blockSize:  19862	 numOfThread:    162	 matchCount: 21625	 runningTime:    30.000000
blockSize:  19740	 numOfThread:    163	 matchCount: 21625	 runningTime:    20.000000
blockSize:  19620	 numOfThread:    164	 matchCount: 21625	 runningTime:    10.000000
blockSize:  19501	 numOfThread:    165	 matchCount: 21625	 runningTime:    20.000000
blockSize:  19383	 numOfThread:    166	 matchCount: 21625	 runningTime:    20.000000
blockSize:  19267	 numOfThread:    167	 matchCount: 21625	 runningTime:    20.000000
blockSize:  19152	 numOfThread:    168	 matchCount: 21625	 runningTime:    20.000000
blockSize:  19039	 numOfThread:    169	 matchCount: 21625	 runningTime:    20.000000
blockSize:  18927	 numOfThread:    170	 matchCount: 21625	 runningTime:    20.000000
blockSize:  18816	 numOfThread:    171	 matchCount: 21625	 runningTime:    10.000000
blockSize:  18707	 numOfThread:    172	 matchCount: 21625	 runningTime:    20.000000
blockSize:  18599	 numOfThread:    173	 matchCount: 21625	 runningTime:    20.000000
blockSize:  18492	 numOfThread:    174	 matchCount: 21625	 runningTime:    20.000000
blockSize:  18386	 numOfThread:    175	 matchCount: 21625	 runningTime:    30.000000
blockSize:  18282	 numOfThread:    176	 matchCount: 21625	 runningTime:    10.000000
blockSize:  18179	 numOfThread:    177	 matchCount: 21625	 runningTime:    20.000000
blockSize:  18076	 numOfThread:    178	 matchCount: 21625	 runningTime:    20.000000
blockSize:  17975	 numOfThread:    179	 matchCount: 21625	 runningTime:    20.000000
blockSize:  17876	 numOfThread:    180	 matchCount: 21625	 runningTime:    30.000000
blockSize:  17777	 numOfThread:    181	 matchCount: 21625	 runningTime:    10.000000
blockSize:  17679	 numOfThread:    182	 matchCount: 21625	 runningTime:    20.000000
blockSize:  17583	 numOfThread:    183	 matchCount: 21625	 runningTime:    20.000000
blockSize:  17487	 numOfThread:    184	 matchCount: 21625	 runningTime:    20.000000
blockSize:  17392	 numOfThread:    185	 matchCount: 21625	 runningTime:    20.000000
blockSize:  17299	 numOfThread:    186	 matchCount: 21625	 runningTime:    20.000000
blockSize:  17206	 numOfThread:    187	 matchCount: 21625	 runningTime:    20.000000
blockSize:  17115	 numOfThread:    188	 matchCount: 21625	 runningTime:    20.000000
blockSize:  17024	 numOfThread:    189	 matchCount: 21625	 runningTime:    20.000000
blockSize:  16935	 numOfThread:    190	 matchCount: 21625	 runningTime:    20.000000
blockSize:  16846	 numOfThread:    191	 matchCount: 21625	 runningTime:    20.000000
blockSize:  16758	 numOfThread:    192	 matchCount: 21625	 runningTime:    20.000000
blockSize:  16672	 numOfThread:    193	 matchCount: 21625	 runningTime:    20.000000
blockSize:  16586	 numOfThread:    194	 matchCount: 21625	 runningTime:    20.000000
blockSize:  16501	 numOfThread:    195	 matchCount: 21625	 runningTime:    20.000000
blockSize:  16416	 numOfThread:    196	 matchCount: 21625	 runningTime:    20.000000
blockSize:  16333	 numOfThread:    197	 matchCount: 21625	 runningTime:    20.000000
blockSize:  16251	 numOfThread:    198	 matchCount: 21625	 runningTime:    20.000000
blockSize:  16169	 numOfThread:    199	 matchCount: 21625	 runningTime:    20.000000
blockSize:  16088	 numOfThread:    200	 matchCount: 21625	 runningTime:    20.000000
blockSize:  16008	 numOfThread:    201	 matchCount: 21625	 runningTime:    20.000000
blockSize:  15929	 numOfThread:    202	 matchCount: 21625	 runningTime:    20.000000
blockSize:  15850	 numOfThread:    203	 matchCount: 21625	 runningTime:    20.000000
blockSize:  15773	 numOfThread:    204	 matchCount: 21625	 runningTime:    20.000000
blockSize:  15696	 numOfThread:    205	 matchCount: 21625	 runningTime:    10.000000
blockSize:  15619	 numOfThread:    206	 matchCount: 21625	 runningTime:    30.000000
blockSize:  15544	 numOfThread:    207	 matchCount: 21625	 runningTime:    20.000000
blockSize:  15469	 numOfThread:    208	 matchCount: 21625	 runningTime:    20.000000
blockSize:  15395	 numOfThread:    209	 matchCount: 21625	 runningTime:    20.000000
blockSize:  15322	 numOfThread:    210	 matchCount: 21625	 runningTime:    20.000000
blockSize:  15249	 numOfThread:    211	 matchCount: 21625	 runningTime:    10.000000
blockSize:  15177	 numOfThread:    212	 matchCount: 21625	 runningTime:    20.000000
blockSize:  15106	 numOfThread:    213	 matchCount: 21625	 runningTime:    20.000000
blockSize:  15035	 numOfThread:    214	 matchCount: 21625	 runningTime:    20.000000
blockSize:  14966	 numOfThread:    215	 matchCount: 21625	 runningTime:    30.000000
blockSize:  14896	 numOfThread:    216	 matchCount: 21625	 runningTime:    20.000000
blockSize:  14828	 numOfThread:    217	 matchCount: 21625	 runningTime:    20.000000
blockSize:  14760	 numOfThread:    218	 matchCount: 21625	 runningTime:    20.000000
blockSize:  14692	 numOfThread:    219	 matchCount: 21625	 runningTime:    20.000000
blockSize:  14625	 numOfThread:    220	 matchCount: 21625	 runningTime:    10.000000
blockSize:  14559	 numOfThread:    221	 matchCount: 21625	 runningTime:    20.000000
blockSize:  14494	 numOfThread:    222	 matchCount: 21625	 runningTime:    30.000000
blockSize:  14429	 numOfThread:    223	 matchCount: 21625	 runningTime:    20.000000
blockSize:  14364	 numOfThread:    224	 matchCount: 21625	 runningTime:    20.000000
blockSize:  14300	 numOfThread:    225	 matchCount: 21625	 runningTime:    20.000000
blockSize:  14237	 numOfThread:    226	 matchCount: 21625	 runningTime:    10.000000
blockSize:  14174	 numOfThread:    227	 matchCount: 21625	 runningTime:    30.000000
blockSize:  14112	 numOfThread:    228	 matchCount: 21625	 runningTime:    20.000000
blockSize:  14051	 numOfThread:    229	 matchCount: 21625	 runningTime:    10.000000
blockSize:  13989	 numOfThread:    230	 matchCount: 21625	 runningTime:    30.000000
blockSize:  13929	 numOfThread:    231	 matchCount: 21625	 runningTime:    20.000000
blockSize:  13869	 numOfThread:    232	 matchCount: 21625	 runningTime:    20.000000
blockSize:  13809	 numOfThread:    233	 matchCount: 21625	 runningTime:    20.000000
blockSize:  13750	 numOfThread:    234	 matchCount: 21625	 runningTime:    20.000000
blockSize:  13692	 numOfThread:    235	 matchCount: 21625	 runningTime:    20.000000
blockSize:  13634	 numOfThread:    236	 matchCount: 21625	 runningTime:    20.000000
blockSize:  13576	 numOfThread:    237	 matchCount: 21625	 runningTime:    20.000000
blockSize:  13519	 numOfThread:    238	 matchCount: 21625	 runningTime:    20.000000
blockSize:  13463	 numOfThread:    239	 matchCount: 21625	 runningTime:    20.000000
blockSize:  13407	 numOfThread:    240	 matchCount: 21625	 runningTime:    20.000000
blockSize:  13351	 numOfThread:    241	 matchCount: 21625	 runningTime:    20.000000
blockSize:  13296	 numOfThread:    242	 matchCount: 21625	 runningTime:    20.000000
blockSize:  13241	 numOfThread:    243	 matchCount: 21625	 runningTime:    20.000000
blockSize:  13187	 numOfThread:    244	 matchCount: 21625	 runningTime:    20.000000
blockSize:  13133	 numOfThread:    245	 matchCount: 21625	 runningTime:    20.000000
